2026-04-07 00:27:54.353 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-07 00:33:38.807 [main] INFO  com.gdut.FindTheLostApplication - Started FindTheLostApplication in 2.019 seconds (process running for 2.664)
2026-04-07 00:33:53.375 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-07 00:33:53.375 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-07 00:33:53.377 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-07 00:33:53.410 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法需要权限校验
2026-04-07 00:33:53.412 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 令牌: null
2026-04-07 00:33:53.412 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 令牌为空，响应401
2026-04-07 00:34:07.578 [http-nio-8080-exec-4] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法需要权限校验
2026-04-07 00:34:07.578 [http-nio-8080-exec-4] INFO  c.gdut.interceptor.TokenInterceptor - 令牌: null
2026-04-07 00:34:07.578 [http-nio-8080-exec-4] INFO  c.gdut.interceptor.TokenInterceptor - 令牌为空，响应401
2026-04-07 00:34:29.390 [http-nio-8080-exec-9] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法需要权限校验
2026-04-07 00:34:29.390 [http-nio-8080-exec-9] INFO  c.gdut.interceptor.TokenInterceptor - 令牌: null
2026-04-07 00:34:29.390 [http-nio-8080-exec-9] INFO  c.gdut.interceptor.TokenInterceptor - 令牌为空，响应401
2026-04-07 00:34:38.238 [http-nio-8080-exec-5] INFO  c.gdut.interceptor.TokenInterceptor - 当前访问不是 Controller 方法，直接放行
2026-04-07 00:34:38.275 [http-nio-8080-exec-6] INFO  c.gdut.interceptor.TokenInterceptor - 当前访问不是 Controller 方法，直接放行
2026-04-07 00:34:38.275 [http-nio-8080-exec-7] INFO  c.gdut.interceptor.TokenInterceptor - 当前访问不是 Controller 方法，直接放行
2026-04-07 00:34:38.275 [http-nio-8080-exec-8] INFO  c.gdut.interceptor.TokenInterceptor - 当前访问不是 Controller 方法，直接放行
2026-04-07 00:34:38.275 [http-nio-8080-exec-2] INFO  c.gdut.interceptor.TokenInterceptor - 当前访问不是 Controller 方法，直接放行
2026-04-07 00:34:38.277 [http-nio-8080-exec-3] INFO  c.gdut.interceptor.TokenInterceptor - 当前访问不是 Controller 方法，直接放行
2026-04-07 00:34:38.427 [http-nio-8080-exec-10] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法不需要权限，直接放行
2026-04-07 00:34:38.433 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 当前访问不是 Controller 方法，直接放行
2026-04-07 00:34:38.477 [http-nio-8080-exec-4] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法不需要权限，直接放行
2026-04-07 00:34:38.916 [http-nio-8080-exec-4] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 429 ms
2026-04-07 00:35:07.577 [http-nio-8080-exec-9] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-07 00:35:08.051 [http-nio-8080-exec-9] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@62f7ffc5
2026-04-07 00:35:08.053 [http-nio-8080-exec-9] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-07 00:35:59.407 [http-nio-8080-exec-7] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法需要权限校验
2026-04-07 00:35:59.407 [http-nio-8080-exec-7] INFO  c.gdut.interceptor.TokenInterceptor - 令牌: eyJhbGciOiJIUzI1NiJ9.eyJyb2xlIjoxLCJpZCI6MiwiZXhwIjoxNzc1NTAwNTA4LCJpYXQiOjE3NzU0OTMzMDh9.kJPXPLjGm2CAzPl8WcKhOLD4ER41GPcC23Co9axCD24
2026-04-07 00:35:59.415 [http-nio-8080-exec-7] INFO  com.gdut.util.JwtUtil - 剩余时间: 7148585
2026-04-07 00:35:59.417 [http-nio-8080-exec-7] INFO  c.gdut.interceptor.TokenInterceptor - 当前用户ID：2，角色代码：1
2026-04-07 00:35:59.417 [http-nio-8080-exec-7] INFO  c.gdut.interceptor.TokenInterceptor - 当前接口任意角色都可以访问
2026-04-07 00:36:04.554 [http-nio-8080-exec-3] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法需要权限校验
2026-04-07 00:36:04.556 [http-nio-8080-exec-3] INFO  c.gdut.interceptor.TokenInterceptor - 令牌: eyJhbGciOiJIUzI1NiJ9.eyJyb2xlIjoxLCJpZCI6MiwiZXhwIjoxNzc1NTAwNTA4LCJpYXQiOjE3NzU0OTMzMDh9.kJPXPLjGm2CAzPl8WcKhOLD4ER41GPcC23Co9axCD24
2026-04-07 00:36:04.556 [http-nio-8080-exec-3] INFO  com.gdut.util.JwtUtil - 剩余时间: 7143444
2026-04-07 00:36:04.556 [http-nio-8080-exec-3] INFO  c.gdut.interceptor.TokenInterceptor - 当前用户ID：2，角色代码：1
2026-04-07 00:36:04.558 [http-nio-8080-exec-3] INFO  c.gdut.interceptor.TokenInterceptor - 当前接口任意角色都可以访问
2026-04-07 00:36:08.445 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 当前方法需要权限校验
2026-04-07 00:36:08.445 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 令牌: eyJhbGciOiJIUzI1NiJ9.eyJyb2xlIjoxLCJpZCI6MiwiZXhwIjoxNzc1NTAwNTA4LCJpYXQiOjE3NzU0OTMzMDh9.kJPXPLjGm2CAzPl8WcKhOLD4ER41GPcC23Co9axCD24
2026-04-07 00:36:08.447 [http-nio-8080-exec-1] INFO  com.gdut.util.JwtUtil - 剩余时间: 7139553
2026-04-07 00:36:08.447 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 当前用户ID：2，角色代码：1
2026-04-07 00:36:08.447 [http-nio-8080-exec-1] INFO  c.gdut.interceptor.TokenInterceptor - 当前接口任意角色都可以访问
2026-04-07 00:36:26.082 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-07 00:36:26.087 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-07 00:36:26.092 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-07 00:36:26.095 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
